emoji,description,version,keywords,category,group,subgroup,parent,components
🏻,"light skin tone",1.0,1–2|light|skin|tone|type,components,component,skin-tone,,
🏼,"medium-light skin tone",1.0,3|medium-light|skin|tone|type,components,component,skin-tone,,
🏽,"medium skin tone",1.0,4|medium|skin|tone|type,components,component,skin-tone,,
🏾,"medium-dark skin tone",1.0,5|medium-dark|skin|tone|type,components,component,skin-tone,,
🏿,"dark skin tone",1.0,6|dark|skin|tone|type,components,component,skin-tone,,
🦰,"red hair",11.0,ginger|hair|red|redhead,components,component,hair-style,,
🦱,"curly hair",11.0,afro|curly|hair|ringlets,components,component,hair-style,,
🦳,"white hair",11.0,gray|hair|old|white,components,component,hair-style,,
🦲,"bald",11.0,bald|chemotherapy|hair|hairless|no|shaven,components,component,hair-style,,
😀,"grinning face",1.0,cheerful|cheery|face|grin|grinning|happy|laugh|nice|smile|smiling|teeth,face-emotion,smileys-emotion,face-smiling,,
😃,"grinning face with big eyes",0.6,awesome|big|eyes|face|grin|grinning|happy|mouth|open|smile|smiling|teeth|yay,face-emotion,smileys-emotion,face-smiling,,
😄,"grinning face with smiling eyes",0.6,eye|eyes|face|grin|grinning|happy|laugh|lol|mouth|open|smile|smiling,face-emotion,smileys-emotion,face-smiling,,
😁,"beaming face with smiling eyes",0.6,beaming|eye|eyes|face|grin|grinning|happy|nice|smile|smiling|teeth,face-emotion,smileys-emotion,face-smiling,,
😆,"grinning squinting face",0.6,closed|eyes|face|grinning|haha|hahaha|happy|laugh|lol|mouth|open|rofl|smile|smiling|squinting,face-emotion,smileys-emotion,face-smiling,,
😅,"grinning face with sweat",0.6,cold|dejected|excited|face|grinning|mouth|nervous|open|smile|smiling|stress|stressed|sweat,face-emotion,smileys-emotion,face-smiling,,
🤣,"rolling on the floor laughing",3.0,crying|face|floor|funny|haha|happy|hehe|hilarious|joy|laugh|lmao|lol|rofl|roflmao|rolling|tear,face-emotion,smileys-emotion,face-smiling,,
😂,"face with tears of joy",0.6,crying|face|feels|funny|haha|happy|hehe|hilarious|joy|laugh|lmao|lol|rofl|roflmao|tear,face-emotion,smileys-emotion,face-smiling,,
🙂,"slightly smiling face",1.0,face|happy|slightly|smile|smiling,face-emotion,smileys-emotion,face-smiling,,
🙃,"upside-down face",1.0,face|hehe|smile|upside-down,face-emotion,smileys-emotion,face-smiling,,
🫠,"melting face",14.0,disappear|dissolve|embarrassed|face|haha|heat|hot|liquid|lol|melt|melting|sarcasm|sarcastic,face-emotion,smileys-emotion,face-smiling,,
😉,"winking face",0.6,face|flirt|heartbreaker|sexy|slide|tease|wink|winking|winks,face-emotion,smileys-emotion,face-smiling,,
😊,"smiling face with smiling eyes",0.6,blush|eye|eyes|face|glad|satisfied|smile|smiling,face-emotion,smileys-emotion,face-smiling,,
😇,"smiling face with halo",1.0,angel|angelic|angels|blessed|face|fairy|fairytale|fantasy|halo|happy|innocent|peaceful|smile|smiling|spirit|tale,face-emotion,smileys-emotion,face-smiling,,
🥰,"smiling face with hearts",11.0,3|adore|crush|face|heart|hearts|ily|love|romance|smile|smiling|you,face-emotion,smileys-emotion,face-affection,,
😍,"smiling face with heart-eyes",0.6,143|bae|eye|face|feels|heart-eyes|hearts|ily|kisses|love|romance|romantic|smile|xoxo,face-emotion,smileys-emotion,face-affection,,
🤩,"star-struck",5.0,excited|eyes|face|grinning|smile|star|star-struck|starry-eyed|wow,face-emotion,smileys-emotion,face-affection,,
😘,"face blowing a kiss",0.6,adorbs|bae|blowing|face|flirt|heart|ily|kiss|love|lover|miss|muah|romantic|smooch|xoxo|you,face-emotion,smileys-emotion,face-affection,,
😗,"kissing face",1.0,143|date|dating|face|flirt|ily|kiss|love|smooch|smooches|xoxo|you,face-emotion,smileys-emotion,face-affection,,
☺️,"smiling face",0.6,face|happy|outlined|relaxed|smile|smiling,face-emotion,smileys-emotion,face-affection,,
😚,"kissing face with closed eyes",0.6,143|bae|blush|closed|date|dating|eye|eyes|face|flirt|ily|kisses|kissing|smooches|xoxo,face-emotion,smileys-emotion,face-affection,,
😙,"kissing face with smiling eyes",1.0,143|closed|date|dating|eye|eyes|face|flirt|ily|kiss|kisses|kissing|love|night|smile|smiling,face-emotion,smileys-emotion,face-affection,,
🥲,"smiling face with tear",13.0,face|glad|grateful|happy|joy|pain|proud|relieved|smile|smiley|smiling|tear|touched,face-emotion,smileys-emotion,face-affection,,
😋,"face savoring food",0.6,delicious|eat|face|food|full|hungry|savor|smile|smiling|tasty|um|yum|yummy,face-emotion,smileys-emotion,face-tongue,,
😛,"face with tongue",1.0,awesome|cool|face|nice|party|stuck-out|sweet|tongue,face-emotion,smileys-emotion,face-tongue,,
😜,"winking face with tongue",0.6,crazy|epic|eye|face|funny|joke|loopy|nutty|party|stuck-out|tongue|wacky|weirdo|wink|winking|yolo,face-emotion,smileys-emotion,face-tongue,,
🤪,"zany face",5.0,crazy|eye|eyes|face|goofy|large|small|zany,face-emotion,smileys-emotion,face-tongue,,
😝,"squinting face with tongue",0.6,closed|eye|eyes|face|gross|horrible|omg|squinting|stuck-out|taste|tongue|whatever|yolo,face-emotion,smileys-emotion,face-tongue,,
🤑,"money-mouth face",1.0,face|money|money-mouth|mouth|paid,face-emotion,smileys-emotion,face-tongue,,
🤗,"smiling face with open hands",1.0,face|hands|hug|hugging|open|smiling,face-emotion,smileys-emotion,face-hand,,
🤭,"face with hand over mouth",5.0,face|giggle|giggling|hand|mouth|oops|realization|secret|shock|sudden|surprise|whoops,face-emotion,smileys-emotion,face-hand,,
🫢,"face with open eyes and hand over mouth",14.0,amazement|awe|disbelief|embarrass|eyes|face|gasp|hand|mouth|omg|open|over|quiet|scared|shock|surprise,face-emotion,smileys-emotion,face-hand,,
🫣,"face with peeking eye",14.0,captivated|embarrass|eye|face|hide|hiding|peek|peeking|peep|scared|shy|stare,face-emotion,smileys-emotion,face-hand,,
🤫,"shushing face",5.0,face|quiet|shh|shush|shushing,face-emotion,smileys-emotion,face-hand,,
🤔,"thinking face",1.0,chin|consider|face|hmm|ponder|pondering|thinking|wondering,face-emotion,smileys-emotion,face-hand,,
🫡,"saluting face",14.0,face|good|luck|ma’am|OK|respect|salute|saluting|sir|troops|yes,face-emotion,smileys-emotion,face-hand,,
🤐,"zipper-mouth face",1.0,face|keep|mouth|quiet|secret|shut|zip|zipper|zipper-mouth,face-emotion,smileys-emotion,face-neutral-skeptical,,
🤨,"face with raised eyebrow",5.0,disapproval|disbelief|distrust|emoji|eyebrow|face|hmm|mild|raised|skeptic|skeptical|skepticism|surprise|what,face-emotion,smileys-emotion,face-neutral-skeptical,,
😐,"neutral face",0.7,awkward|blank|deadpan|expressionless|face|fine|jealous|meh|neutral|oh|shade|straight|unamused|unhappy|unimpressed|whatever,face-emotion,smileys-emotion,face-neutral-skeptical,,
😑,"expressionless face",1.0,awkward|dead|expressionless|face|fine|inexpressive|jealous|meh|not|oh|omg|straight|uh|unhappy|unimpressed|whatever,face-emotion,smileys-emotion,face-neutral-skeptical,,
😶,"face without mouth",1.0,awkward|blank|expressionless|face|mouth|mouthless|mute|quiet|secret|silence|silent|speechless,face-emotion,smileys-emotion,face-neutral-skeptical,,
🫥,"dotted line face",14.0,depressed|disappear|dotted|face|hidden|hide|introvert|invisible|line|meh|whatever|wtv,face-emotion,smileys-emotion,face-neutral-skeptical,,
😶‍🌫️,"face in clouds",13.1,absentminded|clouds|face|fog|head,face-emotion,smileys-emotion,face-neutral-skeptical,,
😏,"smirking face",0.6,boss|dapper|face|flirt|homie|kidding|leer|shade|slick|sly|smirk|smug|snicker|suave|suspicious|swag,face-emotion,smileys-emotion,face-neutral-skeptical,,
😒,"unamused face",0.6,...|bored|face|fine|jealous|jel|jelly|pissed|smh|ugh|uhh|unamused|unhappy|weird|whatever,face-emotion,smileys-emotion,face-neutral-skeptical,,
🙄,"face with rolling eyes",1.0,eyeroll|eyes|face|rolling|shade|ugh|whatever,face-emotion,smileys-emotion,face-neutral-skeptical,,
😬,"grimacing face",1.0,awk|awkward|dentist|face|grimace|grimacing|grinning|smile|smiling,face-emotion,smileys-emotion,face-neutral-skeptical,,
😮‍💨,"face exhaling",13.1,blow|blowing|exhale|exhaling|exhausted|face|gasp|groan|relief|sigh|smiley|smoke|whisper|whistle,face-emotion,smileys-emotion,face-neutral-skeptical,,
🤥,"lying face",3.0,face|liar|lie|lying|pinocchio,face-emotion,smileys-emotion,face-neutral-skeptical,,
🫨,"shaking face",15.0,crazy|daze|earthquake|face|omg|panic|shaking|shock|surprise|vibrate|whoa|wow,face-emotion,smileys-emotion,face-neutral-skeptical,,
🙂‍↔️,"head shaking horizontally",15.1,head|horizontally|no|shake|shaking,face-emotion,smileys-emotion,face-neutral-skeptical,,
